apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
5.81,0.63,7.21,0.96,partly-cloudy-night,314.18,0.0076,0.3,rain,993.96,Mostly Cloudy,7.77,1507680000,0,9.72,68,11.99,10.93
5.98,0.7,7.19,0.96,partly-cloudy-night,314.63,0.0076,0.27,rain,993.88,Mostly Cloudy,7.78,1507681200,0,9.24,65,10.77,10.06
6.16,0.76,7.18,0.96,partly-cloudy-night,315.07,0.0051,0.24,rain,993.8,Mostly Cloudy,7.78,1507682400,0,8.74,62,9.53,9.22
6.43,0.82,7.18,0.96,partly-cloudy-night,315.52,0.0076,0.3,rain,993.75,Mostly Cloudy,7.77,1507683600,0,8.69,55,8.3,7.89
6.28,0.83,7.13,0.96,partly-cloudy-night,315.98,0.0051,0.27,rain,993.75,Mostly Cloudy,7.72,1507684800,0,8.64,45,7.77,8.29
6.08,0.85,7.08,0.96,partly-cloudy-night,316.44,0.0051,0.24,rain,993.75,Mostly Cloudy,7.67,1507686000,0,8.61,36,7.24,8.92
5.85,0.85,7.0,0.96,partly-cloudy-night,316.9,0.0051,0.3,rain,993.78,Mostly Cloudy,7.55,1507687200,0,8.92,30,6.71,9.35
5.51,0.87,6.93,0.96,partly-cloudy-night,317.33,0.0051,0.27,rain,993.76,Mostly Cloudy,7.48,1507688400,0,8.82,25,7.5,10.69
5.18,0.9,6.86,0.96,partly-cloudy-night,317.77,0.0051,0.23,rain,993.75,Mostly Cloudy,7.41,1507689600,0,8.71,21,8.29,12.07
4.96,0.9,6.79,0.96,partly-cloudy-night,318.2,0.0051,0.3,rain,993.79,Mostly Cloudy,7.32,1507690800,0,8.95,19,9.09,12.75
4.85,0.91,6.72,0.96,partly-cloudy-night,318.61,0.0051,0.2,rain,993.86,Mostly Cloudy,7.28,1507692000,0,10.35,17,9.24,13.13
4.73,0.92,6.65,0.96,partly-cloudy-night,319.03,0.0025,0.1,rain,993.93,Mostly Cloudy,7.24,1507693200,0,11.76,16,9.4,13.53
4.73,0.9,6.58,0.96,partly-cloudy-night,319.45,0.0,0.0,,994.04,Mostly Cloudy,7.15,1507694400,0,12.12,16,9.56,12.84
4.5,0.84,6.44,0.96,partly-cloudy-night,319.85,0.0,0.0,,994.14,Mostly Cloudy,7.03,1507695600,0,11.93,14,11.17,13.39
4.27,0.78,6.31,0.96,partly-cloudy-night,320.24,0.0,0.0,,994.23,Mostly Cloudy,6.91,1507696800,0,11.73,13,12.78,13.95
4.18,0.66,6.19,0.96,partly-cloudy-day,320.63,0.0,0.0,,994.36,Mostly Cloudy,6.76,1507698000,0,11.14,12,14.39,13.41
4.09,0.67,6.16,0.96,partly-cloudy-day,322.63,0.0838,0.06,rain,994.53,Mostly Cloudy,6.76,1507699200,0,10.46,5,14.44,13.89
3.99,0.68,6.12,0.96,partly-cloudy-day,324.62,0.1651,0.11,rain,994.7,Mostly Cloudy,6.75,1507700400,0,9.77,359,14.47,14.55
4.0,0.64,6.1,0.96,partly-cloudy-day,326.61,0.188,0.12,rain,994.87,Mostly Cloudy,6.71,1507701600,0,9.3,352,14.52,14.16
4.03,0.66,6.14,0.96,partly-cloudy-day,326.9,0.1245,0.08,rain,995.03,Mostly Cloudy,6.77,1507702800,0,10.53,350,15.64,14.4
4.07,0.68,6.19,0.96,partly-cloudy-day,327.2,0.0635,0.04,rain,995.19,Mostly Cloudy,6.83,1507704000,0,11.76,347,16.75,14.68
4.26,0.65,6.32,0.96,partly-cloudy-day,327.5,0.0,0.0,,995.37,Mostly Cloudy,6.92,1507705200,0,12.25,346,17.88,14.1
4.33,0.69,6.35,0.96,partly-cloudy-day,327.53,0.0,0.0,,995.6,Mostly Cloudy,7.0,1507706400,0,12.39,346,17.43,14.26
4.41,0.74,6.39,0.95,partly-cloudy-day,327.56,0.0,0.0,,995.83,Mostly Cloudy,7.08,1507707600,0,12.54,346,16.96,14.44
4.57,0.69,6.45,0.96,partly-cloudy-day,327.59,0.0,0.0,,996.06,Mostly Cloudy,7.12,1507708800,1,12.02,345,16.5,13.68
